Scenario,N,DayN,DayStatistic,DayRawP,DayEffect,BillTipN,BillTipRho,BillTipRawP,TipRateBillN,TipRateBillRho,TipRateBillRawP
Baseline,362,351,13.84063162577151,0.00313030506695399,0.03124101333075363,362,0.6391915422058756,5.74501208716861e-43,362,-0.4222548617542505,4.375415069463592e-17
Drop DuplicateBlock,354,343,13.848788900330792,0.003118371872922317,0.032002327139618855,354,0.642691257907202,1.2364002759848731e-42,354,-0.4128223751493253,5.316912776549653e-16
Drop TipEntryError,359,348,13.852906211929605,0.0031123658261521634,0.031549145964911644,359,0.6425542796547579,3.4195054554976713e-43,359,-0.4334278074106942,7.119525570715373e-18
Drop DuplicateBlock and TipSuspect,353,342,14.084331073413408,0.0027925822569293984,0.032793878915424284,353,0.6402074690664492,4.195566439998657e-42,353,-0.42289409239886044,9.53672503893972e-17
